iter	Passed	Remaining
0	124	124782
1	132	66074
2	137	45545
3	141	35292
4	148	29645
5	153	25453
6	157	22347
7	162	20180
8	167	18419
9	171	16996
10	176	15906
11	181	14977
12	185	14106
13	191	13515
14	196	12878
15	199	12296
16	205	11856
17	210	11458
18	214	11074
19	220	10794
20	224	10463
21	229	10185
22	233	9920
23	238	9687
24	242	9459
25	248	9294
26	252	9107
27	257	8929
28	263	8829
29	268	8671
30	272	8508
31	278	8423
32	282	8286
33	285	8117
34	289	7982
35	292	7824
36	294	7677
37	297	7542
38	299	7392
39	301	7240
40	304	7113
41	306	6999
42	308	6861
43	309	6726
44	311	6600
45	312	6478
46	313	6359
47	315	6247
48	316	6150
49	319	6069
50	321	5976
51	322	5881
52	323	5788
53	325	5698
54	326	5613
55	328	5530
56	329	5450
57	331	5376
58	333	5318
59	335	5255
60	336	5186
61	338	5118
62	339	5050
63	341	4988
64	342	4924
65	343	4863
66	345	4810
67	348	4771
68	350	4730
69	352	4679
70	353	4628
71	355	4578
72	356	4531
73	358	4484
74	360	4445
75	362	4411
76	365	4376
77	367	4339
78	368	4298
79	370	4257
80	372	4221
81	373	4185
82	374	4141
83	377	4116
84	380	4100
85	382	4067
86	384	4033
87	386	4002
88	388	3971
89	390	3943
90	393	3935
91	396	3915
92	398	3884
93	399	3853
94	402	3832
95	405	3819
96	407	3796
97	409	3772
98	411	3741
99	412	3714
100	414	3687
101	415	3659
102	416	3630
103	418	3603
104	420	3587
105	423	3570
106	424	3546
107	426	3520
108	427	3495
109	429	3471
110	430	3448
111	431	3423
112	433	3400
113	435	3386
114	438	3372
115	439	3350
116	440	3327
117	442	3304
118	443	3282
119	444	3260
120	445	3238
121	446	3215
122	448	3195
123	450	3183
124	453	3172
125	454	3153
126	455	3132
127	456	3112
128	458	3093
129	459	3074
130	460	3054
131	461	3035
132	462	3015
133	464	3000
134	466	2989
135	468	2974
136	469	2957
137	470	2941
138	472	2923
139	473	2907
140	474	2890
141	475	2871
142	476	2854
143	477	2840
144	479	2828
145	482	2819
146	483	2805
147	484	2790
148	485	2775
149	487	2760
150	488	2746
151	490	2734
152	491	2721
153	497	2730
154	498	2720
155	500	2708
156	501	2694
157	503	2681
158	504	2668
159	506	2659
160	507	2646
161	509	2637
162	512	2634
163	514	2622
164	515	2609
165	517	2597
166	518	2586
167	520	2575
168	521	2564
169	523	2557
170	525	2548
171	527	2540
172	529	2530
173	530	2518
174	531	2507
175	533	2496
176	534	2485
177	535	2475
178	537	2467
179	540	2461
180	541	2451
181	543	2440
182	544	2429
183	545	2418
184	546	2408
185	548	2399
186	549	2389
187	551	2382
188	554	2378
189	556	2371
190	557	2362
191	559	2354
192	560	2345
193	562	2336
194	563	2327
195	565	2320
196	568	2318
197	570	2310
198	571	2301
199	573	2292
200	574	2283
201	576	2275
202	577	2266
203	578	2258
204	581	2256
205	584	2251
206	586	2245
207	587	2237
208	589	2229
209	590	2221
210	591	2213
211	593	2204
212	594	2196
213	596	2191
214	598	2185
215	599	2177
216	601	2168
217	602	2160
218	603	2152
219	604	2144
220	605	2135
221	607	2127
222	608	2120
223	611	2116
224	613	2112
225	614	2104
226	616	2097
227	617	2090
228	618	2083
229	619	2075
230	621	2068
231	622	2061
232	624	2055
233	627	2053
234	629	2048
235	630	2040
236	631	2034
237	633	2027
238	634	2020
239	635	2013
240	637	2006
241	638	1999
242	641	1998
243	644	1995
244	645	1989
245	647	1983
246	648	1976
247	649	1969
248	650	1962
249	651	1955
250	652	1948
251	654	1942
252	656	1938
253	658	1933
254	660	1929
255	661	1923
256	663	1917
257	664	1912
258	666	1906
259	667	1900
260	670	1897
261	671	1891
262	674	1889
263	675	1884
264	677	1878
265	678	1872
266	679	1866
267	680	1859
268	682	1853
269	683	1847
270	685	1844
271	687	1841
272	689	1836
273	691	1831
274	692	1826
275	694	1820
276	695	1815
277	696	1809
278	698	1804
279	700	1801
280	702	1798
281	704	1793
282	705	1787
283	706	1781
284	707	1775
285	709	1770
286	710	1764
287	711	1758
288	712	1753
289	715	1752
290	718	1750
291	719	1745
292	721	1740
293	722	1735
294	724	1730
295	725	1725
296	727	1720
297	728	1716
298	730	1713
299	732	1709
300	733	1704
301	735	1698
302	736	1693
303	737	1689
304	739	1684
305	740	1680
306	745	1682
307	747	1679
308	749	1676
309	752	1674
310	754	1671
311	756	1667
312	757	1663
313	759	1660
314	761	1657
315	763	1652
316	764	1647
317	765	1642
318	767	1638
319	768	1633
320	770	1629
321	771	1625
322	773	1622
323	775	1618
324	777	1614
325	779	1610
326	780	1606
327	782	1602
328	783	1598
329	785	1593
330	787	1591
331	789	1589
332	791	1585
333	793	1581
334	794	1577
335	796	1573
336	797	1569
337	798	1564
338	800	1561
339	805	1563
340	806	1559
341	808	1556
342	810	1552
343	811	1547
344	813	1543
